type_projet,surface_m2,budget,localisation,categorie_produit,type_produit,marque,prix_unitaire,qualite,popularite,quantite,prix_total,score_global
renovation,409,178958,Tataouine,isolation,laine_roche,LocalIso,15.26,4,81,256,3906.56,100.0
immeuble,132,93683,Gafsa,quincaillerie,boulon,Fischer,2.41,4,80,55,132.55,100.0
renovation,222,145164,Sfax,plomberie,siphon,Geberit,8.31,5,70,5,41.55,100.0
renovation,358,231339,Ben Arous,maconnerie,parpaing,Sibline,3.7,4,59,1057,3910.9,97.33
immeuble,228,300000,Siliana,etancheite,bitume,LocalBitume,41.64,4,66,5,208.2,95.64
maison,113,90524,Tunis,maconnerie,ciment,Holcim,16.43,4,69,58,952.94,99.06
maison,467,300000,Monastir,quincaillerie,boulon,Rawlplug,1.39,4,69,170,236.3,100.0
renovation,103,68610,Tozeur,etancheite,silicone,LocalSil,12.72,2,40,2,25.44,50.73
immeuble,112,128342,Manouba,quincaillerie,boulon,LocalBoul,1.98,3,65,64,126.72,79.3
immeuble,448,300000,Monastir,maconnerie,ciment,Holcim,18.43,3,50,206,3796.58,73.16
maison,104,59155,Siliana,plomberie,tuyau,Pipelife,5.53,4,62,68,376.04,98.05
maison,170,151012,Gafsa,isolation,laine_verre,Isover,23.41,4,48,152,3558.32,92.06
renovation,159,93694,Ariana,etancheite,bitume,Bostik,57.87,4,58,6,347.22,91.61
renovation,149,101857,Medenine,peinture,peinture_murale,Jotun,103.76,5,77,25,2594.0,100.0
immeuble,166,224638,Medenine,maconnerie,sable,Sibline,31.73,4,71,28,888.44,98.13
renovation,436,247847,Medenine,maconnerie,parpaing,Sibline,3.32,5,63,839,2785.48,100.0
immeuble,362,300000,Tunis,menuiserie,porte,MenuiserieTunis,425.86,4,53,13,5536.18,53.31
renovation,336,140288,Sousse,quincaillerie,cheville,Rawlplug,1.33,4,60,505,671.65,97.87
maison,275,188650,Kasserine,maconnerie,parpaing,Sibline,4.08,5,69,589,2403.12,100.0
renovation,492,140581,Tozeur,maconnerie,brique,BriqueLocal,0.89,3,60,4270,3800.3,77.91
immeuble,164,130952,Mahdia,maconnerie,ciment,LocalCement,18.66,2,33,61,1138.26,48.03
renovation,276,181961,Kef,plomberie,raccord,GF,7.82,4,70,5,39.1,100.0
immeuble,162,98019,Bizerte,peinture,pinceau,LocalTool,20.17,2,30,7,141.19,46.98
renovation,337,254041,Zaghouan,plomberie,tuyau,LocalPlomb,10.32,3,46,173,1785.36,72.77
immeuble,120,103304,Kairouan,maconnerie,gravier,GraviereTunis,56.92,3,37,29,1650.68,65.41
immeuble,210,198172,Kef,peinture,peinture_murale,Ripolin,137.69,4,46,28,3855.32,80.03
immeuble,343,284967,Manouba,electricite,interrupteur,LocalElec,5.11,4,83,104,531.44,100.0
renovation,411,238804,Tunis,maconnerie,gravier,LocalStone,68.02,3,36,63,4285.26,64.0
maison,92,68218,Kasserine,electricite,tableau_electrique,Schneider,214.63,4,73,3,643.89,80.44
maison,412,222899,Zaghouan,peinture,peinture_murale,LocalPaint,129.78,4,56,78,10122.84,83.82
maison,383,198822,Kasserine,maconnerie,parpaing,ParpaingPro,2.75,5,69,626,1721.5,100.0
immeuble,355,300000,Kairouan,peinture,pinceau,LocalTool,14.78,5,84,2,29.56,100.0
immeuble,297,300000,Bizerte,electricite,interrupteur,Legrand,22.49,4,74,49,1102.01,99.95
